abakus;abacus;Abakus
prompt;prompt;prompt
promyka;wash;waschen
propad;Fall;Fallen
propadlina;depression;Depression
propagace;promotion;Förderung
propaganda;propaganda;Propaganda
propagandistka;propagandist;Propagandist
propan;propane;Propan
propedeutika;propaedeutics;Propädeutik
propelent;propellant;Treibmittel
propen;propene;Propen
propionan;propionate;Propionat
propiska;ballpoint;Kugelschreiber
proplach;flush;spülen
propojka;jumper;Jumper
propolis;propolis;Propolis
proporce;proportions;Proportionen
proporcionalita;proportionality;Verhältnismäßigkeit
propozice;proposition;Vorschlag
proprietarizace;proprietary;Eigentum
proprieta;property;Eigentum
propustka;pass;passieren
propylenglykol;propylene glycol;Propylenglykol
propylen;propylene;Propylen
propylenoxid;propylene oxide;Propylenoxid
prorektorka;vice-rector;Vizerektor
prosba;request;Anfrage
prosebnice;supplications;Bitten
prosektorka;projector;Beamer
prosektura;prosektura;prosektura
proslov;speech;Rede
prospekce;prospecting;Prospektion
prospekt;prospectus;Prospekt
prosperita;prosperity;Wohlstand
prostata;prostate;Prostata
prostituce;prostitution;Prostitution
prostitutka;prostitute;Prostituierte
prostora;space;Platz
prostor;space;Platz
prostota;simplicity;Einfachheit
prostup;permeation;Durchdringung
protagonistka;protagonist;Protagonist
protein;protein;Protein
protekce;protection;Schutz
protekcionistka;protectionist;protektionistisch
protektorka;protector;Schutz
protence;protection;Schutz
protestace;protest;Protest
protestantka;Protestant;evangelisch
protest;protest;Protest
protestsong;protest song;Protestlied
protetika;prosthetics;Prothetik
proteze;prosthesis;Prothese
protiakce;counteraction;Gegenwirkung
protiakt;counteract;entgegenwirken
protialiance;anti-alliance;Anti-Allianz
protiargument;counter-argument;Gegenargument
protielektroda;counter electrode;Gegenelektrode
protihmat;counteract;entgegenwirken
protihodnota;equivalent;gleichwertig
protihra;counter play;Gegenspiel
protichod;opposite;Gegenteil
protijed;antidote;Gegenmittel
protiklad;contrast;Kontrast
protiklad;contrast;Kontrast
protikus;counterpart;Gegenstück
protimluv;contradiction in terms;Widerspruch in sich
protiofensiva;counter-offensive;Gegenoffensive
protiofenziva;counteroffensive;Gegenoffensive
protipohyb;counter movement;Gegenbewegung
protiproud;countercurrent;Gegenstrom
protireformace;counter-reformation;Gegenreformation
protistka;protistka;protistka
protistrana;counterparty;Gegenpartei
protisvit;backlight;Hintergrundbeleuchtung
protitah;protitah;protitah
protitlak;back pressure;Gegendruck
protitok;counterpart;Gegenstück
protiva;protiva;protiva
protivnice;opponents;Gegner
protlak;puree;Püree
protokol;protocol;Protokoll
protokolistka;protocoler;Protokollant
proton;proton;Proton
protoplaneta;protoplanet;Protoplanet
protoplazma;protoplasm;Protoplasma
prototyp;prototype;Prototyp
protozoologie;protozoology;Protozoologie
protuberance;protuberance;Ausstülpung
proud;current;aktuell
proudnice;streamers;Streamer
provaz;rope;Seil
provazovka;rope;Seil
provenience;provenance;Herkunft
proviant;provisions;Bestimmungen
provincie;province;Provinz
provinilka;culprit;Schuldiger
provitamin;provitamin;Provitamin
provize;commission;Kommission
provokace;provocation;Provokation
provolba;provolba;Provolba
provoz;traffic;Verkehr
provozovatelka;operator;Operator
provozovna;establishment;Einrichtung
prs;breast;Brust
prskavka;sparkler;Wunderkerze
prskot;sputter;spritzen
prsten;ring;Ring
prst;finger;Finger
prstka;finger;Finger
prstoklad;fingering;fingern
prstoklad;fingering;fingern
pruh;line;Linie
prut;rod;Stange
prvka;element;Element
prvoelement;first;Erste
prvohory;primordial mountains;Urgebirge
prvoligistka;first league;erste Liga
prvopis;original;Original
prvosenka;primrose;Primel
prvotelka;prvotelka;prvotelka
prvotina;first;Erste
prvotisk;original;Original
prvouka;first year;erstes Jahr
pryska;resin;Harz
pseudoargument;pseudo-argument;Pseudoargument
pseudogotika;pseudo-Gothic;pseudogotisch
pseudografika;pseudography;Pseudographie
pseudogrupa;pseudogroup;Pseudogruppe
pseudohumanistka;pseudo-humanist;Pseudo-Humanist
pseudoinformace;pseudo information;Pseudo-Informationen
pseudoinstrukce;pseudo-instructions;Pseudo-Anweisungen
pseudoinverse;pseudoinverse;pseudoinvers
pseudokras;pseudokras;Pseudokras
pseudonorma;pseudonorm;Pseudonorm
pseudonym;pseudonym;Pseudonym
pseudopodnik;pseudo-enterprise;Pseudo-Unternehmen
pseudopokrok;pseudo-progress;Pseudo-Fortschritt
pseudoprogram;pseudo-program;Pseudo-Programm
pseudoregistr;pseudo-register;Pseudo-Register
pseudotsuga;pseudotsuga;pseudotsuga
pseudovarieta;pseudovariety;Pseudovarietät
pseudoznak;pseudo-sign;Pseudozeichen
psina;fun;Spaß
psinka;psinka;psinka
psota;psota;psota
pstruh;trout;Forelle
psychiatrie;psychiatry;Psychiatrie
psychika;psyche;Psyche
psychoakustika;psychoacoustics;Psychoakustik
psychodiagnostika;psychodiagnostics;Psychodiagnostik
psychofarmakoterapie;psychopharmacotherapy;Psychopharmakotherapie
psychofyzika;psychophysics;Psychophysik
psychofyziologie;psychophysiology;Psychophysiologie
psychogymnastika;psychogymnastics;Psychogymnastik
psychohra;psychohra;psychohra
psychohygiena;psychohygiene;Psychohygiene
psycholingvistika;psycholinguistics;Psycholinguistik
psychologie;psychology;Psychologie
psychologizace;psychologization;Psychologisierung
psychopatka;psychopath;Psychopath
psychopatologie;psychopathology;Psychopathologie
psychopedie;psychopedia;Psychopädie
psychosomatika;psychosomatics;Psychosomatik
psychoterapeutka;psychotherapist;Psychotherapeut
psychoterapie;psychotherapy;Psychotherapie
psychotronika;psychotronics;Psychotronik
ptyalin;ptyalin;ptyalin
ptygmatit;ptygmatite;Ptygmatit
puberta;puberty;Pubertät
publicistika;journalism;Journalismus
publicistka;publicist;Publizist
publicita;publicity;Werbung
publikace;publications;Veröffentlichungen
pud;instinct;Instinkt
puding;pudding;Pudding
pudink;pudding;Pudding
pudlice;poodles;Pudel
pudlovna;poodle;Pudel
pudr;powder;Pulver
puch;stench;Gestank
puk;puck;Puck
puklice;puklice;puklice
puklina;split;Teilt
puklinka;crack;Riss
pulkava;pulkava;pulkawa
pulovr;pullover;zur Seite fahren
pulpa;pulp;Zellstoff
pulpit;pulpit;Kanzel
pulsace;pulsation;Pulsieren
pulsar;pulsar;Pulsar
puls;pulse;Impuls
pult;counter;Schalter
pulzace;pulsation;Pulsieren
pulzar;pulzar;Pulsar
pulz;pulse;Impuls
puma;puma;Puma
pumpa;pump;Pumpe
pumpky;knickers;Unterhose
punc;punch;schlagen
puncovnice;punches;Schläge
punkce;puncture;Punktion
punkerka;punk;Punk
punk;punk;Punk
punktace;puncture;Punktion
punkva;point;Punkt
pupalka;evening primrose;Nachtkerze
pupava;pupava;Puppe
pupen;bud;Knospe
pupila;pupil;Schüler
purifikace;purification;Reinigung
purin;purine;Purin
puristka;purist;Purist
purpur;purple;lila
pusa;kiss;Kuss
pusinka;pusinka;Pusinka
pustevny;pustevny;Pustevny
pustina;wasteland;Ödland
pustota;desolation;Verwüstung
putifarka;putifarka;putifarka
putna;putna;putna
putyka;putyka;putika
pych;pych;pych
pyknometr;pycnometer;Pyknometer
pyl;pollen;Pollen
pylon;pylon;Pylon
pyramida;pyramid;Pyramide
pyramidka;pyramid;Pyramide
pyrhotin;pyrhotin;Pyrhotin
pyridin;pyridine;Pyridin
pyridoxin;pyridoxine;Pyridoxin
pyrimidin;pyrimidine;Pyrimidin
pyrit;pyrite;Pyrit
pyroluzit;pyrolusite;Pyrolusit
pyrometr;pyrometer;Pyrometer
pyrotechnika;pyrotechnics;Pyrotechnik
pyroxen;pyroxene;Pyroxen
pyroxenit;pyroxenite;Pyroxenit
pyrrolidon;pyrrolidone;Pyrrolidon
pysk;lip;Lippe
pytlovina;sackcloth;Sackleinen
quasar;quasar;Quasar
quebec;quebec;Quebec
quercetin;quercetin;Quercetin
raabizace;raabizace;Rabizace
rabat;rebate;Abzug
racionalistka;rationalist;Rationalist
racionalita;rationality;Rationalität
racionalizace;rationalization;Rationalisierung
radana;radana;Radana
radar;radar;Radar
rada;advice;Rat
radbuza;radbuza;radbuza
radegast;radegast;radgast
radiace;radiation;Strahlung
radiance;radiance;Glanz
radiant;radiant;strahlend
radikalistka;radicalist;Radikalist
radikalizace;radicalization;Radikalisierung
radioaktivita;radioactivity;Radioaktivität
radioakustika;radio acoustics;Radioakustik
radioaparatura;radio equipment;Funkgeräte
radioastronomie;radio astronomy;Radioastronomie
radiobiologie;radiobiology;Strahlenbiologie
radiodiagnostika;radiodiagnostics;Radiodiagnostik
radioelektronika;radio electronics;Funkelektronik
radiografie;radiography;Radiographie
radiogram;radiogram;Funkspruch
radioizotop;radioisotope;Radioisotop
radioklub;radio club;Radioclub
radiokompas;radio compass;Radiokompass
radiokomunikace;radiocommunications;Funkkommunikation
radiologie;radiology;Radiologie
radiolokace;radiolocation;Funkortung
radiomagnetofon;radio tape recorder;Radio-Tonbandgerät
radiomechanika;radio mechanics;Funkmechanik
radiometr;radiometer;Radiometer
radionuklid;radionuclide;Radionuklid
radioprovoz;radio operation;Funkbetrieb
radiosonda;radio probe;Funksonde
radiostanice;radio stations;Radio Stationen
radiotechnika;radio engineering;Funktechnik
radiotelefon;radiotelephone;Funktelefon
radiotelefonie;radiotelephony;Sprechfunk
radiotelefonistka;radio operator;Funker
radiotelegraf;radiotelegraph;Funktelegraf
radiotelegrafie;radiotelegraphy;Funktelegrafie
radiotelegrafistka;radio operator;Funker
radiotelegram;radiotelegram;Funktelegramm
radiotelekomunikace;radio telecommunications;Funktelekommunikation
radioteleskop;radio telescope;Radioteleskop
radioterapie;radiotherapy;Strahlentherapie
radistka;radio operator;Funker
radix;radix;Wurzel
radka;line;Linie
radlice;blades;Klingen
radmila;radmila;Radmila
radnice;town hall;Rathaus
radon;radon;Radon
rafie;raffia;Bast
rafije;rafije;rafije
rafika;rafika;Rafika
rafinace;refining;Verfeinerung
rafinerie;refinery;Raffinerie
raft;raft;Floß
rafting;rafting;Rafting
ragbistka;rugby player;Rugby Spieler
rachejtle;rocket;Rakete
rachitis;rickets;Rachitis
rachota;rumble;Rumpeln
rachot;rattle;Rassel
rachotina;rattletrap;Klapperfalle
rain;rain;Regen
rajka;paradise;Paradies
rajon;beat;schlagen
rajonizace;zoning;Zonierung
raketa;rocket;Rakete
raketka;rocket;Rakete
raketomet;rocket launcher;Raketenwerfer
rakev;coffin;Sarg
rakousy;Austria;Österreich
rakovina;cancer;Krebs
rakovka;rakovka;Rakowka
ramie;ramie;Ramie
rampa;ramp;Rampe
rampouch;icicle;Eiszapfen
rand;rand;Rand
ranka;ranka;Rang
raperka;rapper;Rapper
rap;rap;Rap
rapid;rapid;schnell
raport;report;Prüfbericht
rapotina;rapotina;rapotina
rapsodie;rhapsody;Rhapsodie
rarita;rarity;Seltenheit
rasance;rasance;Rasanz
rasa;race;Rennen
rasistka;racist;Rassist
rasovina;race;Rennen
raspenava;raspenava;Raspenava
rasterizace;rasterization;Rasterung
rastr;rastr;rastr
ratan;ratan;Ratan
ratejna;ratejna;ratejna
ratifikace;ratification;Ratifizierung
rating;rating;Bewertung
rattan;rattan;Rattan
raut;raut;laut
ravena;ravena;ravena
raytracer;raytracer;Raytracer
razance;force;Gewalt
razie;raid;überfallen
raznice;differences;Unterschiede
reakce;reaction;Reaktion
reakreditace;re-accreditation;Reakkreditierung
reaktance;reactance;Reaktanz
reaktant;reactant;Reaktant
reaktiavace;reactivation;Reaktivierung
reaktivace;reactivation;Reaktivierung
reaktivita;reactivity;Reaktivität
reaktor;reactor;Reaktor
realisace;realization;Realisierung
realistka;realistic;realistisch
realita;reality;Wirklichkeit
realizace;realization;Realisierung
realkalizace;realization;Realisierung
realokace;reallocation;Umverteilung
reambulace;reambulation;Reambulation
reaustenitizace;reaustenitization;Reaustenitisierung
rebarbora;rhubarb;Rhabarber
rebase;rebase;rebasieren
rebelantka;rebel;Rebell
rebelie;rebellion;Rebellion
rebelka;rebelka;rebelka
rebilance;rebilance;Wiederherstellung
recenzentka;reviewer;Rezensent
recenze;review;Überprüfung
recepce;reception;Rezeption
recept;recipe;Rezept
receptor;receptor;Rezeptor
receptura;recipe;Rezept
recese;recession;Rezession
recesistka;recessionist;Rezessionist
recidiva;relapse;Rückfall
recidivistka;recidivist;rückfällig
recipient;recipient;Empfänger
reciprocita;reciprocity;Gegenseitigkeit
recirkulace;recirculation;Umwälzung
recitace;recitation;Rezitation
recitativ;recitative;Rezitativ
recyklace;recycling;Recycling
redakce;editorial staff;Redaktion
redaktorka;editor;Editor
redefinice;redefinition;Neudefinition
redepozice;redeposition;Neuauflage
redislokace;relocation;Verlegung
redistribuce;redistribution;Umverteilung
redukce;reduction;die Ermäßigung
redukcionistka;reductionist;reduktionistisch
reduktan;reduced;reduziert
reduktor;reducer;Reduzierer
redundance;redundancy;Redundanz
reduplikace;reduplication;Verdoppelung
reduta;reduta;reduta
reedice;reissue;Neuausgabe
reedukace;reeducation;Umerziehung
reemigrantka;re-emigrant;Wiederauswanderer
reengineering;reengineering;Umgestaltung
reexport;re-export;wieder exportieren
reference;reference;Hinweis
referentka;clerk;Verkäufer
reflektometr;reflectometer;Reflektometer
reflektor;reflector;Reflektor
reflexe;reflection;Betrachtung
reflex;reflex;Reflex
reflexivita;reflexivity;Reflexivität
reflexologie;reflexology;Reflexologie
reformace;reformation;Reformation
reforma;reform;Reform
reformistka;reformist;reformistisch
reformulace;reformulation;Neuformulierung
refrakce;refraction;Brechung
refraktometr;refractometer;Refraktometer
refraktor;refractor;Refraktor
refundace;refund;Erstattung
regata;regatta;Regatta
regenerace;regeneration;Regeneration
regentka;regent;Regent
regiment;regiment;Regiment
regionalistka;regionalist;regionalistisch
regionalizace;regionalization;Regionalisierung
region;region;Region
registrace;registration;Anmeldung
registratura;filing cabinet;Aktenschrank
registr;register;registrieren
reglementace;regimentation;Reglementierung
regolit;regolith;Regolith
regrese;regression;Rückschritt
regulace;regulation;Verordnung
regulativ;regulatory;regulatorisch
rehabilitace;rehabilitation;Rehabilitation
reimplementace;reimplementation;Neuimplementierung
reinkarnace;reincarnation;Reinkarnation
reinstalace;reinstallation;Neuinstallation
reintegrace;reintegration;Wiedereingliederung
reintrodukce;reintroduction;Wiedereinführung
reinvestice;reinvestment;Reinvestition
rejda;rejda;rejda
rejd;rejd;ablehnen
rejektivita;rejectivity;Ablehnung
rekalibrace;recalibration;Neukalibrierung
rekalkulace;recalculation;Neuberechnung
rekapitalizace;recapitalization;Rekapitalisierung
rekapitulace;recapitulation;Reprise
rekatalogizace;recataloguing;Neukatalogisierung
rekatolizace;recatholicization;Rekatholisierung
rekce;reaction;Reaktion
reklamace;complaint;Beschwerde
reklama;advertisement;Anzeige
reklamka;advertisement;Anzeige
reklasifikace;reclassification;Umklassifizierung
rekodifikace;recodification;Umcodierung
rekognoskace;reconnaissance;Aufklärung
rekolekce;retreat;Rückzug
rekombinace;recombination;Rekombination
rekompilace;recompilation;Neukompilierung
rekondice;reconditioning;Überholung
rekonfigurace;reconfiguration;Neukonfiguration
rekonstituce;reconstitution;Wiederherstellung
rekonstrukce;reconstruction;Wiederaufbau
rekontaminace;recontamination;Rekontamination
rekonvalescence;convalescence;Rekonvaleszenz
rekonvalescentka;convalescent;Rekonvaleszent
rekord;record;Aufzeichnung
rekordmanka;record holder;Rekordhalter
rekreace;recreation;Erholung
rekreantka;vacationer;Urlauber
rekriminace;recrimination;Vorwürfe
rektascenze;right ascension;Rektaszension
rektifikace;rectification;Berichtigung
rektorka;rector;Rektor
rektoskopie;rectoscopy;Rektoskopie
rekultivace;reclamation;Rückgewinnung
rekuperace;recuperation;Erholung
rekurence;recurrence;Wiederauftreten
rekurs;recourse;Rückgriff
rekurze;recursion;Rekursion
rekurz;recursion;Rekursion
rekurzivita;recursivity;Rekursivität
rekvalifikace;retraining;Umschulung
rekvizice;requisition;Anforderung
rekvizita;props;Requisiten
relace;session;Sitzung
relaps;relapse;Rückfall
relativistka;relativist;Relativist
relativita;relativity;Relativität
relaxace;relaxation;Entspannung
relevance;relevancy;Relevanz
reliabilita;reliability;Verlässlichkeit
religionistika;religionistics;Religionswissenschaft
religionistka;religionist;religiös
religiozita;religiosity;Religiosität
relikt;relic;Relikt
relikvie;relic;Relikt
relokace;relocation;Verlegung
reluice;reluice;reluise
remake;remake;neu machen
remilitarizace;remilitarization;Remilitarisierung
remingtonka;remingtonka;remingtonka
reminiscence;reminiscence;Reminiszenz
remix;remix;remixen
remoska;remoska;Remoska
renata;renata;renata
renatka;renatka;renatka
renaturalizace;renaturalization;Wiedereinbürgerung
rendering;rendering;Wiedergabe
renegociace;renegotiation;Neuverhandlung
renesance;Renaissance;Renaissance
reneta;reneta;reneta
renezance;renaissance;Renaissance
renovace;renovation;Renovierung
rentabilita;profitability;Rentabilität
renta;rent;mieten
rentgen;x-ray;Röntgen
rentgenka;x-ray;Röntgen
rentgenografie;radiography;Radiographie
rentgenologie;radiology;Radiologie
reorganizace;reorganization;Reorganisation
reorientace;reorientation;Neuorientierung
reostat;dimmer;Dimmer
reparace;reparation;Wiedergutmachung
repasivace;repassivation;Repassivierung
repatriace;repatriation;Repatriierung
repealistka;repealist;Aufhebung
repelent;repellent;abweisend
reperatura;reperature;Wiederholung
repetentka;repetent;wiederholend
repetice;repetition;Wiederholung
replikace;replication;Reproduzieren
replika;replica;Replik
repopulace;repopulation;Wiederbevölkerung
report;report;Prüfbericht
reporting;reporting;Berichterstattung
reposazba;reposazba;reposazba
representace;representation;Darstellung
represe;repression;Repression
reprezentace;representation;Darstellung
reprezentantka;representative;Vertreter
reprint;reprint;Abdruck
reprodukce;reproduction;Reproduktion
reproduktor;speaker;Lautsprecher
reprofilace;reprofiling;Neuprofilierung
reprografie;reprography;Reprographie
reprosoustava;speaker system;Lautsprechersystem
republika;republic;Republik
reputace;reputation;Ruf
resekce;resection;Resektion
reservace;reservation;Reservierung
reserva;reserve;Reservieren
resignace;resignation;Rücktritt
resilience;resilience;Widerstandsfähigkeit
resin;resin;Harz
resistance;resistance;Widerstand
resistence;resistance;Widerstand
reskript;rescript;reskriptieren
reslovakizace;reslovakizace;reslovakizace
resocializace;resocialization;Resozialisierung
resoluce;resolution;Auflösung
resolventa;resolvent;auflösend
resonance;resonance;Resonanz
resorpce;resorption;Resorption
resort;resort;Erholungsort
respekt;respect;Respekt
respondentka;respondent;Befragter
restart;restart;neu starten
restaurace;restaurant;Restaurant
restaurant;restaurant;Restaurant
rest;rest;sich ausruhen
restituce;restitution;Restitution
restituentka;restituentka;restituentka
restrikce;restriction;Beschränkung
restriktura;restriction;Beschränkung
restrukturalizace;restructuring;Umstrukturierung
resultant;resulting;resultierend
resuscitace;resuscitation;Reanimation
retardace;retardation;Verzögerung
retence;retention;Zurückbehaltung
retina;retina;Retina
retinol;retinol;Retinol
retka;retka;Retka
retnice;labial;Labial
retorta;retort;Retorte
retrakce;retraction;Rückzug
retranslace;retranslation;Rückübersetzung
retribuce;retribution;Vergeltung
retroaktivita;retroactivity;Rückwirkung
retrocese;retrocession;Retrozession
retrokomedie;retrocomedy;Retrokomödie
retrospektiva;retrospect;Rückblick
revalvace;revaluation;Aufwertung
revers;reverse;umkehren
reverzace;reversal;Umkehrung
reverz;reverse;umkehren
reverzibilita;reversibility;Umkehrbarkeit
reviktimizace;revictimization;Reviktimisierung
revise;review;Überprüfung
revisionistka;revisionist;revisionistisch
revitalizace;revitalization;Revitalisierung
revize;revision;Revision
revizionistka;revisionist;revisionistisch
revizorka;auditor;Wirtschaftsprüfer
revokace;revocation;Widerruf
revolta;revolt;Revolte
revoluce;revolution;Revolution
revolver;revolver;Revolver
revolving;revolving;umlaufend
rezeda;reseda;Reseda
rezervace;reservation;Reservierung
rezerva;Reserve;Reservieren
rezervistka;reservist;Reservist
rezidence;residence;Residenz
rezidentka;resident;Bewohner
rezidentura;residency;Wohnsitz
rezignace;resignation;Rücktritt
rezistance;resistance;Widerstand
rezistence;resistance;Widerstand
rezistivita;resistivity;Widerstand
rezistor;resistor;Widerstand
rezoluce;resolution;Auflösung
rezonance;resonance;Resonanz
rezort;resort;Erholungsort
rhein;rhein;Rhein
rhodanid;rhodanide;Rhodanid
rhodoxantin;rhodoxanthine;Rhodoxanthin
rial;rial;Rial
riboflavin;riboflavin;Riboflavin
ribonukleotida;ribonucleotide;Ribonukleotid
ribosa;ribosa;Ribosa
ribozom;ribosome;Ribosom
ribstol;rib table;Rippentisch
rif;rif;rif
riga;riga;Riga
rigidita;rigidity;Steifigkeit
rigol;rigol;Rigol
richmond;richmond;Richmond
rijeka;river;Fluss
ring;ring;Ring
ringle;ringle;klingeln
risk;risk;Risiko
rit;anus;Anus
ritualistka;ritualist;Ritualist
ritualizace;ritualization;Ritualisierung
rivalita;rivalry;Rivalität
rivalka;rivalka;Rivalka
rizalit;rizalit;rizalit
rmen;rmen;rmen
rmut;rmut;rmut
roadster;roadster;Roadster
roajalistka;royalist;Royalist
robka;robka;robka
robota;robot;Roboter
robotika;robotics;Robotik
robotizace;robotization;Robotisierung
robotka;robot;Roboter
robot;robot;Roboter
rock;rock;Felsen
rodenticid;rodenticide;Rodentizid
rod;genus;Gattung
rodina;family;Familie
rodinka;family;Familie
roditelka;parent;Elternteil
rododendron;rhododendron;Rhododendron
rodokaps;pedigree;Stammbaum
rodokmen;pedigree;Stammbaum
rodopis;rodopis;Rodopis
rogalistka;rogalist;rogalist
rohatka;ratchet;Ratsche
roh;corner;Ecke
rohovina;horn;Horn
rohovka;cornea;Hornhaut
rohypnol;rohypnol;Rohypnol
rochetka;rochetka;Rochetka
rojnice;rojnice;schön
rokaj;rokaj;rokaj
rokenrol;rock and roll;Rock'n'Roll
rok;year;Jahr
rokle;ravine;Schlucht
roklina;gorge;Schlucht
roklinka;ravine;Schlucht
rokovatelka;chancellor;Kanzler
rokytna;rokytna;rokytna
rolba;snowmobile;Schneemobil
roleta;blind;blind
roletka;blind;blind
roletovina;blinds;Jalousie
role;role;Rolle
roll;roll;rollen
rolnice;peas;Erbsen
romana;novel;Roman
romance;romance;Romantik
romanistika;romance;Romantik
romanistka;novelist;Romanschriftsteller
romanizace;romanization;Romanisierung
romanka;novel;Roman
romantika;romance;Romantik
romistika;romistika;Romistika
romistka;romistka;Romistka
romka;romka;Romka
rondel;round;runden
rooming;rooming;Unterbringung
ropa;Petroleum;Petroleum
ropovod;pipeline;Pipeline
ropucha;toad;Kröte
rosa;dew;Tau
roslin;plants;Pflanzen
rosnatka;sundew;Sonnentau
rosnice;tree frogs;Laubfrösche
rosol;jelly;Gelee
rossie;rossie;Rossie
rostlina;plant;Pflanze, Anlage
rostlinka;plant;Pflanze, Anlage
rostlinopis;plant history;Pflanzengeschichte
rotace;rotation;Drehung
rotaprint;rotaprint;Rotaprint
rotava;rotava;rotava
rota;company;Unternehmen
rotoped;exercise bike;Heimtrainer
rotor;rotor;Rotor
rotterdam;rotterdam;Rotterdam
rotunda;rotunda;Rotunde
roubanina;rubbing;Reiben
roub;graft;Transplantat
roudka;roudka;Roudka
roura;pipe;Rohr
rourka;pipe;Rohr
rourovna;pipe;Rohr
rousnice;rousnice;schön
routa;route;Route
router;router;Router
routing;routing;Routing
routka;route;Route
rover;rover;Rover
rov;rov;rov
rovina;plane;Flugzeug
rovinka;rovinka;rovinka
rovnice;equation;Gleichung
royalistka;royalist;Royalist
rozbor;analysis;Analyse
rozborka;disassembly;Demontage
rozdavatelka;distributor;Verteiler
rozdvojka;socket splitter;Steckdosensplitter
rozedma;emphysema;Emphysem
rozehra;play;abspielen
rozestup;spacing;Abstand
rozeta;rosette;Rosette
rozetka;rosette;Rosette
rozhalenka;rozalenka;rosalenka
rozhlas;radio;Radio
rozhled;view;Aussicht
rozhledna;lookout tower;Aussichtsturm
rozhovor;Conversation;Konversation
rozchod;gauge;Messgerät
rozchodka;divorce;Scheidung
rozinka;raisin;Rosine
rozjezd;departure;Abfahrt
rozkaz;command;Befehl
rozklad;decomposition;Zersetzung
rozklad;decomposition;Zersetzung
rozkmit;amplitude;Amplitude
rozkol;split;Teilt
rozkop;excavation;Ausgrabung
rozkrok;crotch;Zwickel
rozlet;flight;Flug
rozloha;area;Bereich
rozluka;separation;Trennung
rozmach;expansion;Erweiterung
rozmar;whim;Laune
rozmluva;discourse;Diskurs
rozmysl;thoughtfulness;Nachdenklichkeit
roznos;roznos;Rosnos
rozpad;disintegration;Zerfall
rozpaky;embarrassment;Verlegenheit
rozpal;hot;heiß
rozpis;schedule;Plan
rozpiska;schedule;Plan
rozplavba;heat;Wärme
rozpojka;disconnection;Trennung
rozpor;contradiction;Widerspruch
rozporka;conflict;Konflikt
rozprach;spray;sprühen
rozprava;debate;Debatte
rozptyl;dispersion;Streuung
rozptylka;scatter;streuen
rozpuk;rozpuk;rozpuk
rozrazil;veronica;Veronika
rozruch;stir;Aufsehen
rozsah;range;Angebot
rozsedlina;crevasse;Gletscherspalte
rozsev;spread;Verbreitung
rozsivka;diatom;Kieselalge
rozskok;jump;springen
rozsocha;size;Größe
rozstup;spacing;Abstand
roztoka;solution;Lösung
roztok;solution;Lösung
roztyly;scatter;streuen
rozum;sense;Sinn
rozvaha;balance sheet;Bilanz
rozvalina;ruin;zugrunde richten
rozvod;divorce;Scheidung
rozvodka;switchboard;Telefonzentrale
rozvodna;substation;Umspannwerk
rozvodnice;drainage divide;Wasserscheide
rozvodovka;transmission;Übertragung
rozvor;wheelbase;Radstand
rozvoz;delivery;Lieferung
rozvrat;disruption;Störung
rozvrh;schedule;Plan
rubanina;ribbon;Schleife
rub;reverse;umkehren
rubixantin;rubixantin;rubixantin
rubl;ruble;Rubel
rubopis;endorsement;Billigung
rubrika;section;Sektion
ruda;ore;Erz
ruderalizace;ruderalization;Ruderalisierung
rudiment;rudiment;Rudiment
rudka;rudka;Rudka
rudl;rudl;Rudl
rudnina;rudnina;Rudnina
rudoarmejka;rudoarmejka;rudoarmejka
rudolfka;rudolfka;Rudolfka
ruch;ruch;ruch
ruina;ruin;zugrunde richten
rujana;rujana;Rujana
rukavice;glove;Handschuh
ruka;hand;Hand
rukomluva;handwriting;Handschrift
rukopis;manuscript;Manuskript
ruksak;rucksack;Rucksack
rula;gneiss;Gneis
ruleta;roulette;Roulette
ruletka;roulette;Roulette
rumba;rumba;Rumba
rum;rum;Rum
rumunka;Romanian;rumänisch
runa;rune;Rune
runda;round;runden
rupie;rupee;Rupie
ruptura;rupture;Bruch
ruralistka;ruralist;ländlich
rusalka;undine;undine
rusava;rusava;Rusava
rusinka;rusinka;Rusinka
rusistika;Russian studies;Russische Studien
rusistka;Russian;Russisch
ruska;Russian;Russisch
rustika;rustic;rustikal
rustonka;rustonka;Rostonka
rutil;rutile;Rutil
rutina;routine;Routine
rutinka;routine;Routine
rwanda;rwanda;Ruanda
ryba;fish;Fisch
rybenka;fish;Fisch
rybina;dovetail;Schwalbenschwanz
rybinka;dovetail;Schwalbenschwanz
rybka;fish;Fisch
rybolov;fishing;Angeln
rychleby;fast;schnell
rychloinstalace;quick install;Schnellinstallation
rychlokurs;crash course;Crash-Kurs
rychloopravna;quick repair;schnelle Reparatur
rychlopalba;rapid fire;Schnellfeuer
rychloposuv;rapid traverse;Eilgang
rychlospojka;quick coupler;Schnellkupplung
rychlotelegraf;speed telegraph;Geschwindigkeitstelegraf
rychlovka;quickie;schnell
rychlovlak;express train;Express Zug
rychta;rychta;Rychta
ryk;ryk;ryk
ryngle;greengage;Greengage
ryniofyt;rhynophyte;Rhynophyt
rynk;market;Markt
ryolit;rhyolite;Rhyolith
ryps;rep;rep
rys;feature;Merkmal
ryska;Russian;Russisch
rytina;engraving;Gravur
rytinka;engraving;Gravur
rytmika;rhythm;Rhythmus
rytmizace;rhythm;Rhythmus
ryv;ryv;ryv
ryzalit;ryzalit;Ryzalit
ryzka;ryzka;Ryzka
